T;Heated Black Aluminum (TH1-0);Blue Aluminum (TH1-1);Polished Aluminum (TH1-2);Red Aluminum (TH0-3);Heated Carbon (TH2-0);Black Aluminum (TH2-1);Carbon (TH2-2);Titanium (TH2-3);Photodiode
900;71.9;-9.1;-4.5;-16.2;79.4;-8.2;-15;-6.3;2.1
901;71.9;-9;-4.5;-16.2;79.3;-8.2;-15;-6.2;2.1
902;71.9;-9.1;-4.5;-16.2;79.2;-8.3;-15;-6.2;2.1
903;71.9;-9.1;-4.4;-16.1;79.2;-8.3;-15;-6.3;2.1
904;71.9;-9.1;-4.4;-16.1;79.7;-7.8;-15;-6.3;2.1
905;72;-9;-4.4;-16.2;79.5;-8;-15;-6.3;2.1
906;71.9;-9.1;-4.4;-16.1;79.2;-8.2;-15;-6.4;2.1
907;71.9;-9.1;-4.4;-16.1;79.1;-8.3;-15;-6.4;2.1
908;72;-9;-4.4;-16.1;79.5;-7.9;-15;-6.4;2.1
909;71.9;-9.1;-4.4;-16.1;79.3;-8;-15;-6.4;2.1
910;71.9;-9;-4.4;-16.1;79;-8.3;-15;-6.4;2.1
911;72.1;-8.9;-4.4;-16.1;79;-8.3;-15;-6.5;2.1
912;72.1;-8.9;-4.4;-16.1;79;-8.2;-15;-6.5;2.1
913;72;-8.9;-4.4;-16.1;79.5;-7.8;-15;-6.5;2.1
914;72.1;-9;-4.4;-16.1;79.5;-7.9;-15;-6.5;2.1
915;72.1;-8.9;-4.3;-16.1;79.5;-7.8;-15;-6.5;2.1
916;72.1;-8.9;-4.4;-16.1;79.5;-7.8;-15;-6.5;2.1
917;72.1;-8.9;-4.4;-16.1;79;-8.2;-15;-6.6;2.1
918;72;-9;-4.3;-16.1;79.5;-7.8;-15;-6.6;2.1
919;72;-9;-4.3;-16.1;79.1;-8.1;-15;-6.6;2.1
920;72.1;-8.9;-4.3;-16.1;79.5;-7.7;-15;-6.6;2.1
921;72.2;-8.8;-4.3;-16.1;78.9;-8.2;-15;-6.6;2.1
922;72.2;-8.8;-4.3;-16;79.1;-8;-15;-6.6;2.1
923;72.2;-8.8;-4.3;-16;79;-8.1;-15;-6.7;2.1
924;72.2;-8.8;-4.3;-16;78.9;-8.1;-15;-6.7;2.1
925;72.2;-8.9;-4.3;-16;79.2;-7.9;-15;-6.7;2.1
926;72.2;-8.9;-4.3;-16;79.4;-7.7;-15;-6.7;2.1
927;72.2;-8.8;-4.3;-16;79;-8.1;-15;-6.7;2.1
928;72.4;-8.6;-4.3;-16;79.1;-7.9;-15;-6.8;2.1
929;72.3;-8.8;-4.2;-16;79;-8.1;-15;-6.8;2.1
930;72.3;-8.8;-4.2;-16;79.4;-7.7;-15;-6.8;2.1
931;72.3;-8.8;-4.2;-16;79.2;-7.8;-15;-6.8;2.1
932;72.4;-8.6;-4.2;-16;79.4;-7.7;-15;-6.8;2.1
933;72.4;-8.7;-4.2;-16;79.3;-7.7;-15;-6.8;2.1
934;72.5;-8.6;-4.2;-16;79.3;-7.6;-14.9;-6.9;2.1
935;72.6;-8.5;-4.2;-15.9;79.3;-7.6;-15;-6.9;2.1
936;72.3;-8.8;-4.2;-15.9;79.3;-7.6;-15;-6.9;2.1
937;72.3;-8.8;-4.2;-15.9;79.2;-7.7;-14.9;-6.9;2.1
938;72.5;-8.6;-4.2;-15.9;79.2;-7.7;-14.9;-6.9;2.1
939;72.6;-8.5;-4.2;-15.9;79.2;-7.7;-15;-6.9;2
940;72.6;-8.5;-4.2;-15.9;79;-7.9;-15;-6.9;2
941;72.4;-8.8;-4.1;-15.9;79.2;-7.7;-14.9;-7;1.9
942;72.6;-8.5;-4.1;-15.9;79.3;-7.6;-14.9;-6.9;1.9
943;72.4;-8.7;-4.1;-15.9;79;-7.9;-15;-7;2
944;72.6;-8.5;-4.1;-15.8;79.2;-7.6;-14.9;-7;2
945;72.5;-8.6;-4.1;-15.9;78.9;-8;-14.9;-7;2
946;72.7;-8.4;-4.1;-15.9;79.1;-7.7;-14.9;-7;2
947;72.8;-8.4;-4.1;-15.8;79.1;-7.7;-14.9;-7;1.9
948;72.6;-8.5;-4.1;-15.8;78.9;-8;-15;-7;1.8
949;72.7;-8.5;-4.1;-15.8;79.1;-7.7;-14.9;-7.1;1.8
950;72.6;-8.5;-4.1;-15.8;79.1;-7.7;-14.9;-7.1;1.9
951;72.6;-8.6;-4.1;-15.8;78.9;-7.9;-14.9;-7.1;1.9
952;72.8;-8.4;-4.1;-15.8;79;-7.8;-14.9;-7.1;1.9
953;72.7;-8.4;-4;-15.8;79.1;-7.7;-14.9;-7.1;1.9
954;72.9;-8.3;-4;-15.8;79.1;-7.7;-14.9;-7.1;2
955;72.8;-8.4;-4;-15.8;79.1;-7.6;-14.9;-7.1;2.1
956;72.7;-8.4;-4;-15.8;78.9;-7.8;-14.9;-7.1;2.1
957;72.8;-8.4;-4;-15.8;78.9;-7.8;-14.9;-7.1;2.1
958;72.9;-8.3;-4;-15.7;79.1;-7.6;-14.9;-7.2;2.1
959;72.8;-8.4;-4;-15.7;79.2;-7.5;-14.9;-7.2;2.1
960;72.7;-8.5;-4;-15.8;79.1;-7.6;-14.9;-7.2;2.1
961;72.9;-8.4;-4;-15.7;79;-7.7;-14.9;-7.2;2.1
962;72.7;-8.5;-4;-15.7;79.3;-7.4;-14.9;-7.2;2.1
963;72.8;-8.4;-4;-15.7;79.1;-7.5;-14.9;-7.2;2.1
964;72.9;-8.3;-4;-15.7;79;-7.6;-14.9;-7.2;2.1
965;73;-8.2;-4;-15.7;79.1;-7.6;-14.9;-7.2;2.1
966;73;-8.2;-3.9;-15.7;79.1;-7.6;-14.9;-7.2;2.1
967;73;-8.2;-3.9;-15.7;79.3;-7.4;-14.9;-7.3;2.1
968;73.1;-8.2;-3.9;-15.6;79.1;-7.6;-14.9;-7.3;2.1
969;72.9;-8.4;-3.9;-15.7;79.1;-7.6;-14.9;-7.3;2.1
970;72.9;-8.4;-3.9;-15.6;79.2;-7.5;-14.9;-7.3;2.1
971;72.9;-8.4;-3.9;-15.6;79;-7.6;-14.9;-7.3;2.1
972;73.2;-8.1;-3.9;-15.7;79.1;-7.5;-14.9;-7.3;2.1
973;73.3;-8;-3.9;-15.6;79.1;-7.6;-14.9;-7.3;2.1
974;73.3;-8;-3.9;-15.6;79.1;-7.6;-14.9;-7.3;2.1
975;73.3;-8;-3.9;-15.6;79.2;-7.4;-14.9;-7.3;2.1
976;73;-8.3;-3.9;-15.6;79.3;-7.3;-14.9;-7.4;2.1
977;73.4;-8;-3.9;-15.6;79.1;-7.5;-14.9;-7.4;2.1
978;73.4;-7.9;-3.9;-15.6;79.2;-7.4;-14.9;-7.4;2.1
979;73;-8.3;-3.9;-15.6;79;-7.6;-14.9;-7.4;2.1
980;73;-8.3;-3.8;-15.6;79;-7.6;-14.9;-7.4;2.1
981;73.1;-8.2;-3.8;-15.6;79.1;-7.5;-14.9;-7.4;2.1
982;73.1;-8.2;-3.8;-15.6;79.2;-7.4;-14.9;-7.4;2.1
983;73.3;-8;-3.8;-15.5;79.3;-7.2;-14.9;-7.4;2.1
984;73.5;-7.9;-3.8;-15.5;79.3;-7.3;-14.9;-7.5;2.1
985;73.5;-7.9;-3.8;-15.5;79.1;-7.5;-14.9;-7.4;2.1
986;73.2;-8.2;-3.8;-15.5;78.9;-7.6;-14.9;-7.4;2.1
987;73.2;-8.2;-3.8;-15.5;79.3;-7.2;-14.9;-7.5;2.1
988;73.3;-8.1;-3.8;-15.5;79.2;-7.3;-14.9;-7.5;2.1
989;73.3;-8.1;-3.8;-15.5;79.3;-7.2;-14.8;-7.5;2.1
990;73.6;-7.8;-3.8;-15.5;79.1;-7.4;-14.9;-7.5;2.1
991;73.6;-7.8;-3.7;-15.5;79.1;-7.4;-14.8;-7.5;2.4
992;73.4;-8;-3.7;-15.5;79;-7.5;-14.8;-7.5;2.5
993;73.3;-8.1;-3.7;-15.5;79.2;-7.4;-14.9;-7.5;2.6
994;73.4;-8;-3.7;-15.5;79.4;-7.1;-14.8;-7.5;2.6
995;73.4;-8;-3.7;-15.4;79;-7.5;-14.9;-7.5;2.6
996;73.4;-8;-3.7;-15.4;79;-7.6;-14.8;-7.5;2.6
997;73.7;-7.7;-3.7;-15.4;79;-7.5;-14.8;-7.6;2.6
998;73.8;-7.7;-3.7;-15.4;79.4;-7.1;-14.8;-7.6;2.6
999;73.6;-7.8;-3.7;-15.4;79.4;-7;-14.8;-7.6;2.6
1000;73.5;-7.9;-3.7;-15.4;79.2;-7.3;-14.8;-7.6;2.6
1001;73.5;-7.9;-3.7;-15.4;79.2;-7.2;-14.8;-7.6;2.6
1002;73.8;-7.6;-3.7;-15.4;79.2;-7.3;-14.8;-7.6;2.6
1003;73.8;-7.6;-3.7;-15.4;79.2;-7.2;-14.8;-7.6;2.6
1004;73.9;-7.6;-3.7;-15.4;79.2;-7.2;-14.8;-7.6;2.6
1005;73.9;-7.5;-3.7;-15.3;79.2;-7.3;-14.8;-7.7;2.6
1006;73.9;-7.6;-3.6;-15.3;79.2;-7.2;-14.8;-7.6;2.6
1007;73.9;-7.6;-3.6;-15.3;79.2;-7.3;-14.8;-7.6;2.6
1008;73.8;-7.7;-3.6;-15.3;79.2;-7.2;-14.8;-7.7;2.6
1009;73.9;-7.6;-3.6;-15.3;79.3;-7.2;-14.8;-7.6;2.6
1010;74;-7.5;-3.6;-15.3;79.3;-7.2;-14.8;-7.7;2.6
1011;74;-7.5;-3.6;-15.3;79.3;-7.2;-14.8;-7.6;2.6
1012;73.7;-7.8;-3.6;-15.3;79.3;-7.2;-14.8;-7.7;2.6
1013;73.9;-7.6;-3.6;-15.3;79.3;-7.2;-14.8;-7.7;2.6
1014;73.7;-7.8;-3.6;-15.3;79.3;-7.2;-14.8;-7.7;2.6
1015;73.7;-7.8;-3.6;-15.3;79.3;-7.2;-14.8;-7.6;2.6
1016;74;-7.5;-3.6;-15.3;79.3;-7.1;-14.8;-7.7;2.6
1017;74;-7.6;-3.6;-15.3;79.3;-7.1;-14.8;-7.7;2.6
1018;74.1;-7.4;-3.6;-15.3;79.3;-7.1;-14.8;-7.7;2.6
1019;73.8;-7.7;-3.6;-15.3;79.3;-7.1;-14.8;-7.7;2.6
1020;73.9;-7.6;-3.5;-15.2;79.2;-7.2;-14.8;-7.7;2.6
1021;74.2;-7.3;-3.5;-15.2;79.3;-7.1;-14.8;-7.7;2.6
1022;73.9;-7.7;-3.5;-15.2;79.3;-7.1;-14.8;-7.7;2.6
1023;74.1;-7.5;-3.5;-15.2;79.3;-7.1;-14.8;-7.7;2.6
1024;74.1;-7.4;-3.5;-15.2;79.3;-7;-14.8;-7.7;2.8
1025;74.2;-7.4;-3.5;-15.2;79.2;-7.2;-14.8;-7.7;2.9
1026;74.1;-7.5;-3.5;-15.2;79.3;-7;-14.8;-7.7;3
1027;74;-7.6;-3.5;-15.2;79.3;-7;-14.8;-7.7;2.9
1028;74;-7.6;-3.5;-15.2;79.3;-7;-14.8;-7.7;3.1
1029;74;-7.6;-3.5;-15.2;79.3;-7;-14.7;-7.8;3.2
1030;74.4;-7.2;-3.5;-15.2;79.4;-7;-14.8;-7.7;3.2
1031;74;-7.6;-3.5;-15.1;79.3;-7;-14.8;-7.8;3.2
1032;74.3;-7.3;-3.5;-15.2;79.4;-7;-14.8;-7.8;3.2
1033;74.4;-7.2;-3.4;-15.1;79.4;-7;-14.7;-7.8;3.2
1034;74.1;-7.5;-3.4;-15.1;79.4;-6.9;-14.8;-7.8;3.2
1035;74.1;-7.5;-3.4;-15.1;79.4;-7;-14.8;-7.8;3.2
1036;74.5;-7.2;-3.4;-15.1;79.4;-7;-14.7;-7.8;3.2
1037;74.2;-7.5;-3.4;-15.1;79.4;-7;-14.8;-7.8;3.2
1038;74.5;-7.1;-3.4;-15.1;79.4;-6.9;-14.7;-7.8;3.2
1039;74.5;-7.2;-3.4;-15.1;79.4;-6.9;-14.8;-7.8;3.2
1040;74.2;-7.5;-3.4;-15.1;79.4;-6.9;-14.7;-7.8;3.2
1041;74.2;-7.5;-3.4;-15.1;79.4;-6.9;-14.7;-7.8;3.2
1042;74.2;-7.5;-3.4;-15.1;79.4;-6.9;-14.7;-7.8;3.2
1043;74.2;-7.5;-3.4;-15.1;79.4;-6.9;-14.8;-7.8;3.2
1044;74.2;-7.5;-3.4;-15.1;79.4;-6.9;-14.7;-7.8;3.2
1045;74.3;-7.5;-3.4;-15.1;79.4;-6.9;-14.8;-7.8;3.2
1046;74.3;-7.5;-3.4;-15.1;79.4;-6.9;-14.7;-7.8;3.2
1047;74.3;-7.4;-3.4;-15.1;79.4;-6.9;-14.8;-7.8;3.2
1048;74.3;-7.4;-3.3;-15.1;79.4;-6.9;-14.7;-7.8;3.2
1049;74.3;-7.4;-3.3;-15;79.4;-6.9;-14.7;-7.8;3.2
1050;74.4;-7.4;-3.3;-15;79.4;-6.8;-14.7;-7.8;3.2
1051;74.4;-7.4;-3.3;-15.1;79.4;-6.9;-14.7;-7.8;3.2
1052;74.4;-7.3;-3.3;-15;79.5;-6.8;-14.7;-7.9;3.2
1053;74.4;-7.4;-3.3;-15;79.5;-6.8;-14.7;-7.8;3.2
1054;74.4;-7.3;-3.3;-15;79.4;-6.8;-14.7;-7.9;3.2
1055;74.4;-7.3;-3.3;-15;79.5;-6.8;-14.7;-7.8;3.2
1056;74.5;-7.3;-3.3;-15;79.4;-6.8;-14.7;-7.9;3.2
1057;74.5;-7.3;-3.3;-15;79.5;-6.8;-14.7;-7.9;3.2
1058;74.5;-7.3;-3.3;-15;79.5;-6.8;-14.7;-7.9;3.2
1059;74.5;-7.3;-3.3;-15;79.5;-6.8;-14.7;-7.9;3.2
1060;74.9;-6.9;-3.3;-15;79.5;-6.8;-14.7;-7.9;3.7
1061;74.5;-7.3;-3.3;-15;79.5;-6.7;-14.7;-7.8;3.7
1062;74.6;-7.3;-3.3;-15;79.5;-6.7;-14.7;-7.8;4.2
1063;74.6;-7.2;-3.3;-15;79.5;-6.8;-14.7;-7.9;4.2
1064;74.6;-7.2;-3.2;-15;79.5;-6.7;-14.7;-7.8;4.8
1065;75;-6.8;-3.2;-14.9;79.5;-6.7;-14.7;-7.8;5.3
1066;75;-6.8;-3.2;-14.9;79.5;-6.7;-14.7;-7.8;5.3
1067;75.1;-6.7;-3.2;-14.9;79.5;-6.7;-14.6;-7.8;5.8
1068;75.1;-6.7;-3.2;-14.9;79.6;-6.7;-14.6;-7.8;6.4
1069;75.2;-6.6;-3.2;-14.8;79.6;-6.6;-14.6;-7.7;6.9
1070;75.2;-6.6;-3.2;-14.8;79.7;-6.6;-14.5;-7.7;6.9
1071;74.9;-7;-3.2;-14.7;79.7;-6.5;-14.5;-7.6;7.4
1072;75.3;-6.5;-3.1;-14.7;79.8;-6.5;-14.4;-7.6;7.9
1073;75.4;-6.5;-3.1;-14.7;79.8;-6.4;-14.4;-7.5;7.9
1074;75.4;-6.4;-3.1;-14.6;79.9;-6.4;-14.3;-7.5;8.5
1075;75.5;-6.4;-3.1;-14.6;79.9;-6.4;-14.3;-7.5;9
1076;75.5;-6.3;-3;-14.5;80;-6.4;-14.2;-7.4;9.5
1077;75.6;-6.3;-3.1;-14.5;80.1;-6.3;-14.2;-7.4;10.1
1078;75.6;-6.2;-3;-14.4;80.1;-6.2;-14.1;-7.3;10.6
1079;75.7;-6.1;-3;-14.4;80.3;-6.2;-14;-7.2;11.1
1080;75.8;-6.1;-3;-14.4;80.3;-6.1;-13.9;-7.2;11.7
1081;75.8;-6;-3;-14.3;80.5;-6;-13.8;-7.1;12.2
1082;75.9;-6;-2.9;-14.3;80.6;-6;-13.7;-7;12.7
1083;76;-5.9;-2.9;-14.2;80.8;-5.9;-13.7;-7;13.3
1084;76.1;-5.8;-2.9;-14.2;80.8;-5.8;-13.6;-6.9;13.8
1085;76.2;-5.7;-2.8;-14.1;81;-5.7;-13.5;-6.8;14.3
1086;76.2;-5.7;-2.8;-14;81.1;-5.7;-13.4;-6.7;14.9
1087;76.3;-5.6;-2.8;-14;81.1;-5.7;-13.3;-6.6;15.4
1088;76.4;-5.5;-2.8;-13.9;81.3;-5.5;-13.2;-6.6;16.3
1089;76.5;-5.4;-2.7;-13.8;81.4;-5.5;-13.1;-6.5;17
1090;76.6;-5.4;-2.7;-13.8;81.6;-5.4;-12.9;-6.4;18.1
1091;76.7;-5.3;-2.7;-13.7;81.7;-5.3;-12.8;-6.3;18.8
1092;76.7;-5.2;-2.6;-13.6;81.9;-5.2;-12.7;-6.1;19.7
1093;76.8;-5.1;-2.6;-13.6;82.1;-5.1;-12.6;-6;20.7
1094;77;-5;-2.6;-13.5;82.2;-5;-12.5;-5.9;21.8
1095;77;-4.9;-2.5;-13.4;82.4;-5;-12.3;-5.9;22.9
1096;77.1;-4.9;-2.5;-13.4;82.6;-4.9;-12.1;-5.7;23.9
1097;77.2;-4.8;-2.5;-13.3;82.7;-4.8;-12;-5.7;25.1
1098;77.3;-4.7;-2.5;-13.2;82.9;-4.7;-11.9;-5.5;26.1
1099;77.4;-4.6;-2.4;-13.1;83.1;-4.7;-11.8;-5.4;27.4
1100;77.5;-4.5;-2.4;-13;83.2;-4.5;-11.6;-5.3;28.7
1101;77.6;-4.4;-2.3;-12.9;83.4;-4.5;-11.5;-5.2;30
1102;77.7;-4.3;-2.3;-12.8;83.6;-4.4;-11.3;-5;31.3
1103;77.8;-4.2;-2.3;-12.7;83.8;-4.3;-11.2;-4.9;32.6
1104;77.9;-4.1;-2.2;-12.7;84;-4.2;-11.1;-4.8;34.1
1105;78;-4;-2.2;-12.6;84.2;-4;-10.9;-4.7;35.5
1106;78.1;-3.9;-2.2;-12.5;84.4;-3.9;-10.7;-4.5;37.1
1107;78.2;-3.8;-2.1;-12.4;84.5;-3.9;-10.6;-4.4;38.9
1108;78.3;-3.7;-2.1;-12.3;84.7;-3.8;-10.4;-4.3;40.9
1109;78.5;-3.6;-2;-12.2;84.9;-3.6;-10.3;-4.1;42.5
1110;78.6;-3.5;-2;-12.1;85.1;-3.5;-10.1;-4;44.8
1111;78.7;-3.4;-2;-12;85.3;-3.4;-9.9;-3.8;47.2
1112;78.8;-3.2;-1.9;-12;85.6;-3.3;-9.8;-3.6;49.9
1113;78.9;-3.1;-1.9;-11.8;85.7;-3.2;-9.6;-3.6;53.6
1114;79;-3;-1.8;-11.7;85.9;-3.1;-9.4;-3.4;59
1115;79.1;-2.9;-1.8;-11.6;86.2;-3;-9.2;-3.2;64.4
1116;79.3;-2.8;-1.7;-11.5;86.4;-2.8;-9.1;-3;70.5
1117;79.4;-2.7;-1.7;-11.5;86.6;-2.7;-8.9;-2.9;77.1
1118;79.5;-2.6;-1.7;-11.4;86.7;-2.7;-8.7;-2.8;84.2
1119;79.6;-2.5;-1.6;-11.3;86.9;-2.6;-8.6;-2.6;89.7
1120;79.7;-2.4;-1.6;-11.2;87.1;-2.5;-8.4;-2.5;97.2
1121;79.9;-2.3;-1.5;-11.1;87.4;-2.3;-8.2;-2.3;104.6
1122;80;-2.1;-1.5;-11;87.6;-2.2;-8;-2.2;112.3
1123;80.1;-2;-1.5;-10.9;87.8;-2.1;-7.8;-2;120.3
1124;80.2;-1.9;-1.4;-10.7;88;-1.9;-7.7;-1.8;128.5
1125;80.4;-1.8;-1.4;-10.6;88.2;-1.8;-7.5;-1.6;136.8
1126;80.5;-1.7;-1.3;-10.5;88.5;-1.7;-7.3;-1.5;145.2
1127;80.6;-1.5;-1.3;-10.5;88.7;-1.6;-7;-1.3;153.6
1128;80.7;-1.5;-1.2;-10.3;88.9;-1.5;-6.8;-1.2;162
1129;80.8;-1.3;-1.2;-10.3;89.1;-1.4;-6.7;-1;170.2
1130;81;-1.2;-1.1;-10.2;89.2;-1.2;-6.5;-0.8;176.2
1131;81.1;-1.1;-1.1;-10;89.5;-1.1;-6.3;-0.7;184.2
1132;81.2;-1;-1;-9.9;89.7;-1;-6.1;-0.5;192.1
1133;81.3;-0.8;-1;-9.8;89.9;-0.9;-6;-0.3;200.1
1134;81.5;-0.7;-0.9;-9.7;90.1;-0.8;-5.8;-0.2;208.1
1135;81.6;-0.6;-0.9;-9.6;90.4;-0.6;-5.6;0;215.8
1136;81.7;-0.5;-0.9;-9.5;90.6;-0.5;-5.4;0.1;223.5
1137;81.9;-0.3;-0.8;-9.4;90.8;-0.4;-5.2;0.2;231.1
1138;82;-0.2;-0.8;-9.3;91;-0.3;-5;0.4;238.6
1139;82.1;-0.1;-0.7;-9.2;91.2;-0.1;-4.8;0.6;245.8
1140;82.2;0;-0.6;-9.1;91.4;0;-4.6;0.7;252.9
1141;82.3;0;-0.6;-9;91.6;0;-4.4;0.9;258.1
1142;82.4;0.1;-0.5;-8.9;91.8;0.1;-4.2;1.1;264.8
1143;82.5;0.3;-0.5;-8.8;92;0.2;-4;1.3;271.1
1144;82.7;0.4;-0.4;-8.7;92.2;0.4;-3.8;1.5;277.1
1145;82.8;0.5;-0.4;-8.6;92.5;0.5;-3.6;1.6;282.6
1146;82.9;0.7;-0.4;-8.5;92.7;0.6;-3.4;1.8;287.8
1147;83;0.8;-0.3;-8.3;92.9;0.7;-3.2;2;292.5
1148;83.2;0.9;-0.2;-8.2;93.1;0.9;-3;2.2;296.7
1149;83.3;1;-0.2;-8.1;93.3;1;-2.8;2.3;300.3
1150;83.4;1.1;-0.1;-8;93.4;1.1;-2.7;2.5;303.1
1151;83.5;1.3;-0.1;-7.9;93.6;1.2;-2.5;2.7;305.1
1152;83.6;1.4;0;-7.8;93.8;1.4;-2.2;2.9;306.4
1153;83.7;1.5;0;-7.7;94;1.5;-2.1;3;307.8
1154;83.9;1.7;0;-7.6;94.3;1.6;-1.9;3.2;308.8
1155;84;1.8;0;-7.5;94.4;1.7;-1.7;3.4;309.3
1156;84.1;1.9;0;-7.4;94.6;1.8;-1.5;3.5;308.8
1157;84.2;2;0.1;-7.3;94.8;1.9;-1.3;3.7;307.6
1158;84.3;2.1;0.2;-7.2;95;2;-1.1;3.9;305.6
1159;84.4;2.2;0.2;-7.1;95.2;2.2;-0.9;4;303.3
1160;84.6;2.4;0.3;-6.9;95.4;2.3;-0.7;4.2;300.5
1161;84.6;2.4;0.3;-6.9;95.5;2.3;-0.6;4.4;297.2
1162;84.7;2.6;0.4;-6.8;95.7;2.5;-0.4;4.5;294.3
1163;84.9;2.6;0.4;-6.6;95.9;2.6;-0.2;4.7;290.2
1164;85;2.8;0.5;-6.5;96;2.7;0;4.8;285.7
1165;85.1;2.9;0.5;-6.4;96.2;2.8;0.1;5;281
1166;85.2;3;0.6;-6.3;96.4;3;0.3;5.2;276
1167;85.3;3.1;0.7;-6.2;96.6;3.1;0.5;5.3;270.8
1168;85.4;3.2;0.7;-6.1;96.7;3.2;0.6;5.5;265.6
1169;85.5;3.3;0.8;-6;96.9;3.3;0.8;5.7;259.8
1170;85.6;3.5;0.8;-5.9;97;3.4;1;5.8;253.8
1171;85.7;3.6;0.8;-5.8;97.2;3.5;1.2;6;247.4
1172;85.8;3.7;0.9;-5.7;97.4;3.6;1.3;6.1;240.8
1173;85.9;3.8;1;-5.6;97.5;3.7;1.6;6.3;235.7
1174;86;3.9;1;-5.5;97.7;3.9;1.7;6.4;228.9
1175;86.1;4;1.1;-5.4;97.8;4;1.9;6.6;221.9
1176;86.2;4.1;1.1;-5.3;97.9;4.1;2.1;6.8;214.7
1177;86.3;4.2;1.2;-5.2;98.1;4.2;2.2;6.9;207.3
1178;86.4;4.3;1.2;-5.2;98.1;4.3;2.4;7.1;199.8
1179;86.5;4.4;1.2;-5.1;98.3;4.4;2.6;7.2;192.2
1180;86.6;4.5;1.3;-5;98.5;4.5;2.7;7.3;184.5
1181;86.7;4.6;1.3;-4.9;98.6;4.6;2.9;7.5;176.9
1182;86.7;4.7;1.4;-4.8;98.7;4.7;3;7.6;169.2
1183;86.8;4.8;1.4;-4.7;98.8;4.8;3.2;7.8;161.4
1184;86.9;4.9;1.5;-4.6;99;4.9;3.3;7.9;155.6
1185;86.9;5;1.5;-4.6;99.1;5;3.5;8.1;147.8
1186;87;5.1;1.5;-4.5;99.2;5.1;3.6;8.2;140.1
1187;87.1;5.2;1.6;-4.4;99.3;5.2;3.8;8.3;132
1188;87.2;5.3;1.7;-4.3;99.4;5.3;3.9;8.4;123.9
1189;87.2;5.4;1.7;-4.2;99.5;5.4;4.1;8.6;115.8
1190;87.3;5.5;1.7;-4.1;99.6;5.4;4.2;8.7;107.9
1191;87.4;5.6;1.8;-4;99.7;5.6;4.3;8.8;100.2
1192;87.5;5.6;1.8;-4;99.8;5.6;4.5;8.9;92.7
1193;87.6;5.7;1.9;-3.9;99.9;5.7;4.6;9.1;85.6
1194;87.6;5.8;1.9;-3.8;100;5.8;4.7;9.2;80.5
1195;87.7;5.8;2;-3.8;100.1;5.9;4.9;9.3;74.2
1196;87.8;6;2;-3.6;100.1;6;5;9.4;68.4
1197;87.8;6;2.1;-3.6;100.2;6.1;5.1;9.5;63.2
1198;87.9;6.1;2.1;-3.5;100.3;6.1;5.3;9.6;58.9
1199;87.9;6.2;2.2;-3.5;100.4;6.2;5.4;9.7;55.2
1200;88;6.3;2.2;-3.4;100.4;6.3;5.5;9.9;51.8
1201;88.1;6.4;2.2;-3.3;100.5;6.4;5.6;9.9;48.4
1202;88.1;6.4;2.3;-3.3;100.5;6.5;5.7;10.1;45.4
1203;88.1;6.5;2.3;-3.2;100.6;6.5;5.8;10.1;42.5
1204;88.2;6.6;2.3;-3.1;100.6;6.6;5.9;10.2;40.1
1205;88.2;6.7;2.4;-3;100.7;6.7;6;10.3;38.4
1206;88.3;6.7;2.4;-3;100.7;6.8;6.1;10.4;36.3
1207;88.3;6.8;2.5;-2.9;100.8;6.8;6.3;10.5;34.4
1208;88.4;6.8;2.5;-2.9;100.8;6.9;6.3;10.6;32.7
1209;88.4;6.9;2.6;-2.8;100.8;7;6.4;10.7;31.3
1210;88.5;6.9;2.6;-2.8;100.9;7;6.5;10.8;29.8
1211;88.5;7;2.7;-2.7;100.9;7.1;6.6;10.9;28.7
1212;88.5;7.1;2.7;-2.7;100.9;7.1;6.7;10.9;27.5
1213;88.6;7.1;2.7;-2.6;101;7.2;6.8;11;26.3
1214;88.6;7.2;2.8;-2.5;100.9;7.2;6.8;11.1;25
1215;88.6;7.2;2.8;-2.5;101;7.3;6.9;11.2;24.1
1216;88.7;7.3;2.8;-2.4;101;7.3;7;11.2;22.9
1217;88.7;7.3;2.9;-2.4;101;7.4;7.1;11.3;21.8
1218;88.7;7.3;2.9;-2.3;101;7.4;7.2;11.3;20.7
1219;88.7;7.4;2.9;-2.3;101;7.5;7.2;11.4;19.7
1220;88.8;7.4;3;-2.3;101;7.5;7.3;11.5;18.6
1221;88.8;7.5;3;-2.3;101;7.6;7.3;11.5;17.5
1222;88.8;7.5;3;-2.2;100.9;7.6;7.4;11.6;16.7
1223;88.8;7.5;3;-2.2;100.9;7.6;7.5;11.7;15.9
1224;88.8;7.6;3.1;-2.1;100.9;7.7;7.5;11.7;15.1
1225;88.8;7.6;3.1;-2.1;100.9;7.7;7.5;11.7;14.3
1226;88.8;7.6;3.2;-2.1;100.9;7.8;7.6;11.8;13.8
1227;88.9;7.7;3.2;-2;100.8;7.8;7.6;11.8;13.3
1228;88.9;7.7;3.2;-2;100.8;7.8;7.6;11.8;12.7
1229;88.8;7.7;3.2;-2;100.7;7.9;7.7;11.9;12.2
1230;88.8;7.7;3.2;-2;100.7;7.9;7.7;11.9;11.7
1231;88.8;7.8;3.3;-1.9;100.6;7.9;7.7;11.9;11.1
1232;88.8;7.8;3.3;-1.9;100.6;7.9;7.8;11.9;10.7
1233;88.8;7.8;3.4;-1.9;100.5;8;7.8;12;10.6
